,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
33,KA Pollard,2017-2017,10,9,4,201,47,40.20,117,171.79,0,0,0,15,11,KA Pollard,2017-2017,10,1,1.1,0,23,0,-,-,19.71,-,0,0,8,0
34,Saifullah Bangash,2016-2016,5,2,1,0,0*,0.00,2,0.00,0,0,1,0,0,Saifullah Bangash,2016-2016,5,-,-,-,-,-,-,-,-,-,-,-,2,0
35,KC Sangakkara,2017-2017,10,10,0,215,65,21.50,181,118.78,0,1,0,20,5,KC Sangakkara,2017-2017,10,-,-,-,-,-,-,-,-,-,-,-,10,0
36,Shahid Afridi,2018-2018,9,6,1,47,26,9.40,31,151.61,0,0,0,0,6,Shahid Afridi,2018-2018,9,9,33.0,2,208,13,3/18,16.00,6.30,15.2,0,0,3,0
37,Shahzaib Hasan,2016-2017,4,4,0,64,27,16.00,52,123.07,0,0,1,7,2,Shahzaib Hasan,2016-2017,4,-,-,-,-,-,-,-,-,-,-,-,1,0
38,Shakib Al Hasan,2016-2016,8,8,1,126,51,18.00,120,105.00,0,1,0,6,3,Shakib Al Hasan,2016-2016,8,7,21.0,0,167,3,1/26,55.66,7.95,42.0,0,0,3,0
39,Sharjeel Khan,2020-2020,10,9,1,199,74*,24.87,138,144.20,0,1,1,16,16,Sharjeel Khan,2020-2020,10,-,-,-,-,-,-,-,-,-,-,-,0,0
40,Shoaib Malik,2016-2017,19,19,3,359,51*,22.43,308,116.55,0,1,2,20,14,Shoaib Malik,2016-2017,19,9,22.0,0,155,4,2/21,38.75,7.04,33.0,0,0,3,0
41,Sikandar Raza,2019-2019,3,3,0,23,14,7.66,38,60.52,0,0,0,2,0,Sikandar Raza,2019-2019,3,2,6.0,1,32,3,2/23,10.66,5.33,12.0,0,0,2,0
42,LMP Simmons,2016-2018,8,8,1,210,62*,30.00,187,112.29,0,2,0,26,7,LMP Simmons,2016-2018,8,-,-,-,-,-,-,-,-,-,-,-,3,0
43,Sohail Khan,2016-2019,19,11,4,42,10,6.00,39,107.69,0,0,2,2,2,Sohail Khan,2016-2019,19,19,67.2,1,552,22,3/23,25.09,8.19,18.3,0,0,1,0
44,Sohail Tanvir,2016-2016,6,4,1,33,23,11.00,29,113.79,0,0,0,3,2,Sohail Tanvir,2016-2016,6,6,19.5,0,150,2,1/19,75.00,7.56,59.5,0,0,1,0
45,AW Summers,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,AW Summers,2019-2019,2,2,8.0,0,62,0,-,-,7.75,-,0,0,1,0
46,RN ten Doeschate,2016-2016,1,1,0,16,16,16.00,23,69.56,0,0,0,0,0,RN ten Doeschate,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,0,0
47,Umaid Asif,2020-2020,6,3,1,42,20,21.00,21,200.00,0,0,0,3,3,Umaid Asif,2020-2020,6,6,21.0,0,175,6,2/23,29.16,8.33,21.0,0,0,2,0
48,Umer Khan,2019-2020,17,5,2,3,3*,1.00,8,37.50,0,0,3,0,0,Umer Khan,2019-2020,17,15,51.0,0,397,19,3/22,20.89,7.78,16.1,0,0,3,0
49,Usama Mir,2016-2020,20,9,3,28,10,4.66,29,96.55,0,0,2,3,0,Usama Mir,2016-2020,20,20,65.5,0,557,18,3/24,30.94,8.46,21.9,0,0,4,0
50,Usman Shinwari,2017-2019,27,5,3,2,1*,1.00,9,22.22,0,0,2,0,0,Usman Shinwari,2017-2019,27,26,89.1,0,758,35,4/15,21.65,8.50,15.2,2,0,5,0
51,JM Vince,2016-2016,7,7,0,111,44,15.85,106,104.71,0,0,0,8,3,JM Vince,2016-2016,7,-,-,-,-,-,-,-,-,-,-,-,3,0
52,CAK Walton,2020-2020,10,8,2,152,45,25.33,97,156.70,0,0,0,14,8,CAK Walton,2020-2020,10,-,-,-,-,-,-,-,-,-,-,-,9,0
53,Waqas Maqsood,2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-,Waqas Maqsood,2020-2020,1,1,4.0,0,19,2,2/19,9.50,4.75,12.0,0,0,0,0
54,MH Wessels,2016-2016,2,2,0,4,3,2.00,11,36.36,0,0,0,0,0,MH Wessels,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,1,0
55,D Wiese,2018-2018,1,1,0,5,5,5.00,6,83.33,0,0,0,1,0,D Wiese,2018-2018,1,1,3.0,0,33,0,-,-,11.00,-,0,0,0,0
