,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
57,Dawlat Zadran (AFG),2012-2019,34,34,123.3,2,980,40,4/44,24.50,7.93,18.5,1,0
58,Kuldeep Yadav (INDIA),2017-2020,21,20,75.3,1,537,39,5/24,13.76,7.11,11.6,1,1
59,TA Boult (NZ),2013-2019,27,27,98.5,1,854,39,4/34,21.89,8.64,15.2,1,0
60,JW Dernbach (ENG),2011-2014,34,33,117.0,1,1020,39,4/22,26.15,8.71,18.0,1,0
61,RA Jadeja (INDIA),2009-2020,49,49,162.1,4,1152,39,3/48,29.53,7.10,24.9,0,0
62,Iqbal Hussain (QAT),2019-2020,22,22,79.0,0,604,38,4/16,15.89,7.64,12.4,2,0
63,DL Vettori (NZ),2007-2014,34,34,131.1,1,748,38,4/20,19.68,5.70,20.7,1,0
64,MG Johnson (AUS),2007-2013,30,30,109.2,2,797,38,3/15,20.97,7.28,17.2,0,0
65,HH Pandya (INDIA),2016-2019,40,39,116.5,1,976,38,4/38,25.68,8.35,18.4,1,0
66,AD Mathews (SL),2009-2020,75,60,170.3,4,1181,38,3/16,31.07,6.92,26.9,0,0
67,Karan KC (NEPAL),2015-2020,28,28,93.3,2,705,37,4/17,19.05,7.54,15.1,2,0
68,Mohammad Naveed (UAE),2015-2019,31,31,114.4,5,729,37,3/14,19.70,6.35,18.5,0,0
69,AJ Tye (AUS),2016-2018,26,25,91.5,1,815,37,4/23,22.02,8.87,14.8,1,0
70,J Botha (SA),2006-2012,40,39,129.0,1,823,37,3/16,22.24,6.37,20.9,0,0
71,Shapoor Zadran (AFG),2010-2020,36,36,115.5,3,907,37,3/40,24.51,7.83,18.7,0,0
72,JP Faulkner (AUS),2012-2017,24,24,85.5,0,684,36,5/27,19.00,7.96,14.3,0,1
73,AC Evans (SCOT),2015-2019,27,25,93.0,4,689,36,5/24,19.13,7.40,15.5,0,1
74,PJ Cummins (AUS),2011-2020,28,28,104.0,3,715,36,3/15,19.86,6.87,17.3,0,0
75,SS Cottrell (WI),2014-2020,27,27,94.1,2,738,36,4/28,20.50,7.83,15.6,1,0
76,N Vanua (PNG),2015-2019,25,25,81.4,3,505,35,5/17,14.42,6.18,14.0,1,1
77,Khawar Ali (OMAN),2015-2020,32,30,91.0,0,590,35,4/16,16.85,6.48,15.6,2,0
78,SO Ngoche (KENYA),2010-2019,28,28,94.0,0,637,35,4/14,18.20,6.77,16.1,2,0
79,AG Cremer (ZIM),2008-2018,29,28,95.0,1,660,35,3/11,18.85,6.94,16.2,0,0
80,AL Phehlukwayo (SA),2017-2020,27,26,85.0,0,698,35,4/24,19.94,8.21,14.5,1,0
81,AR Cusack (IRE),2008-2015,37,33,101.0,3,714,35,4/11,20.40,7.06,17.3,3,0
82,Hasan Ali (PAK),2016-2019,30,30,103.3,3,877,35,3/23,25.05,8.47,17.7,0,0
83,KA Pollard (WI),2008-2020,73,48,109.0,0,919,35,4/25,26.25,8.43,18.6,1,0
84,S Lamichhane (ICC/NEPAL),2018-2020,21,21,76.0,3,495,34,4/20,14.55,6.51,13.4,1,0
85,CH Morris (SA),2012-2019,23,23,83.0,3,697,34,4/27,20.50,8.39,14.6,1,0
86,A Nehra (INDIA),2009-2017,27,27,98.0,2,758,34,3/19,22.29,7.73,17.2,0,0
87,DJ Willey (ENG),2015-2019,28,28,92.5,0,761,34,4/7,22.38,8.19,16.3,1,0
88,NM Coulter-Nile (AUS),2013-2019,28,27,97.0,1,802,34,4/31,23.58,8.26,17.1,1,0
89,Amjad Javed (UAE),2014-2017,22,22,74.2,1,560,33,3/12,16.96,7.53,13.5,0,0
90,A Zampa (AUS),2016-2020,30,29,102.3,1,628,33,3/14,19.03,6.12,18.6,0,0
91,JE Taylor (WI),2006-2018,30,30,100.0,2,863,33,3/6,26.15,8.63,18.1,0,0
92,CB Mpofu (ZIM),2008-2020,32,32,115.4,0,1035,33,4/30,31.36,8.94,21.0,1,0
93,Hamid Hassan (AFG),2010-2016,22,22,79.4,2,523,32,4/22,16.34,6.56,14.9,1,0
94,DT Johnston (IRE),2008-2013,30,28,99.0,5,636,32,4/22,19.87,6.42,18.5,1,0
95,SC Williams (ZIM),2006-2020,40,39,130.0,0,937,32,3/15,29.28,7.20,24.3,0,0
96,Mahmudullah (BDESH),2007-2020,87,55,118.3,2,864,31,3/18,27.87,7.29,22.9,0,0
97,CR Brathwaite (WI),2011-2019,41,39,118.1,1,1013,31,3/20,32.67,8.57,22.8,0,0
98,K Rabada (SA),2014-2020,24,24,88.2,0,762,30,3/30,25.40,8.62,17.6,0,0
99,MJ McClenaghan (ICC/NZ),2012-2018,29,29,101.2,2,789,30,3/17,26.30,7.78,20.2,0,0
100,Wahab Riaz (PAK),2008-2019,31,30,101.3,2,813,30,3/18,27.10,8.00,20.3,0,0
101,R Rampaul (WI),2007-2015,23,23,82.5,1,705,29,3/16,24.31,8.51,17.1,0,0
102,Amir Hamza (AFG),2013-2017,31,31,106.0,2,716,29,3/39,24.68,6.75,21.9,0,0
103,Ahmed Raza (UAE),2014-2020,41,40,139.0,2,874,29,2/8,30.13,6.28,28.7,0,0
104,BD Glover (NL),2019-2019,19,19,65.0,0,448,28,4/12,16.00,6.89,13.9,2,0
105,DP Nannes (AUS/NL),2009-2010,17,16,61.0,2,459,28,4/18,16.39,7.52,13.0,1,0
106,RM Haq (SCOT),2007-2013,21,20,75.0,1,472,28,3/20,16.85,6.29,16.0,0,0
107,Yuvraj Singh (INDIA),2007-2017,58,31,70.4,0,499,28,3/17,17.82,7.06,15.1,0,0
108,SW Tait (AUS),2007-2016,21,21,79.4,2,589,28,3/13,21.03,7.39,17.0,0,0
109,IK Pathan (INDIA),2006-2012,24,23,77.0,1,618,28,3/16,22.07,8.02,16.5,0,0
110,Shoaib Malik (ICC/PAK),2006-2020,113,48,93.0,0,659,28,2/7,23.53,7.08,19.9,0,0
111,KM Jarvis (ZIM),2011-2019,22,22,74.4,0,665,28,3/15,23.75,8.90,16.0,0,0
112,Samiullah Shinwari (AFG),2010-2020,64,38,105.4,0,688,28,5/13,24.57,6.51,22.6,1,1
113,B Lee (AUS),2005-2012,25,25,90.5,0,714,28,3/23,25.50,7.86,19.4,0,0
114,Rubel Hossain (BDESH),2009-2018,27,26,94.3,0,879,28,3/31,31.39,9.30,20.2,0,0
115,HS Baidwan (CAN),2008-2013,17,17,53.5,1,411,27,4/19,15.22,7.63,11.9,1,0
116,MR Adair (IRE),2019-2020,18,18,64.5,2,435,27,4/40,16.11,6.70,14.4,1,0
117,Zahoor Khan (UAE),2017-2020,22,22,73.3,1,503,27,3/17,18.62,6.84,16.3,0,0
118,B Stanlake (AUS),2017-2019,19,19,70.0,2,544,27,4/8,20.14,7.77,15.5,1,0
119,ST Finn (ENG),2011-2015,21,21,80.0,0,583,27,3/16,21.59,7.28,17.7,0,0
