,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
32,Mohammad Mohsin,2020-2020,2,1,0,0,0,0.00,6,0.00,0,0,1,0,0,Mohammad Mohsin,2020-2020,2,1,4.0,0,35,1,1/35,35.00,8.75,24.0,0,0,0,0
33,EJG Morgan,2017-2017,6,6,1,136,80*,27.20,131,103.81,0,1,0,14,4,EJG Morgan,2017-2017,6,-,-,-,-,-,-,-,-,-,-,-,2,0
34,Nabi Gul,2019-2019,2,1,0,9,9,9.00,12,75.00,0,0,0,0,0,Nabi Gul,2019-2019,2,1,0.5,0,4,0,-,-,4.80,-,0,0,1,0
35,KA Pollard,2019-2019,13,13,3,284,52*,28.40,164,173.17,0,2,1,19,23,KA Pollard,2019-2019,13,12,28.4,0,229,5,1/10,45.80,7.98,34.4,0,0,10,0
36,Rahat Ali,2020-2020,9,1,0,1,1,1.00,6,16.66,0,0,0,0,0,Rahat Ali,2020-2020,9,9,32.1,0,278,8,3/24,34.75,8.64,24.1,0,0,1,0
37,Saad Nasim,2018-2018,5,5,1,65,35,16.25,47,138.29,0,0,0,7,3,Saad Nasim,2018-2018,5,-,-,-,-,-,-,-,-,-,-,-,1,0
38,Sabbir Rahman,2018-2018,2,1,0,11,11,11.00,11,100.00,0,0,0,1,0,Sabbir Rahman,2018-2018,2,-,-,-,-,-,-,-,-,-,-,-,3,0
39,Sameen Gul,2018-2019,15,3,3,3,2*,-,6,50.00,0,0,0,0,0,Sameen Gul,2018-2019,15,15,55.0,0,459,16,3/29,28.68,8.34,20.6,0,0,1,0
40,DJG Sammy,2016-2020,49,39,12,691,48,25.59,472,146.39,0,0,2,48,44,DJG Sammy,2016-2020,49,16,26.4,0,256,9,2/21,28.44,9.60,17.7,0,0,17,0
41,MN Samuels,2017-2017,5,5,1,81,37*,20.25,67,120.89,0,0,0,5,3,MN Samuels,2017-2017,5,-,-,-,-,-,-,-,-,-,-,-,1,0
42,Shahid Afridi,2016-2017,20,15,2,264,54,20.30,157,168.15,0,1,2,14,21,Shahid Afridi,2016-2017,20,19,65.0,3,433,12,5/7,36.08,6.66,32.5,0,1,4,0
43,Shahid Yousuf,2016-2016,9,6,1,99,27*,19.80,97,102.06,0,0,0,9,1,Shahid Yousuf,2016-2016,9,-,-,-,-,-,-,-,-,-,-,-,3,0
44,Shakib Al Hasan,2017-2017,5,4,0,54,30,13.50,48,112.50,0,0,0,5,1,Shakib Al Hasan,2017-2017,5,4,12.0,2,77,5,2/14,15.40,6.41,14.4,0,0,0,0
45,Shoaib Malik,2020-2020,8,7,0,239,68,34.14,178,134.26,0,3,0,25,6,Shoaib Malik,2020-2020,8,4,10.0,0,82,0,-,-,8.20,-,0,0,3,0
46,DR Smith,2018-2018,10,9,1,252,71*,31.50,199,126.63,0,1,0,20,16,DR Smith,2018-2018,10,3,1.4,0,20,0,-,-,12.00,-,0,0,2,0
47,Sohaib Maqsood,2017-2019,11,10,2,104,30*,13.00,109,95.41,0,0,3,9,4,Sohaib Maqsood,2017-2019,11,1,1.0,0,8,0,-,-,8.00,-,0,0,3,0
48,SW Tait,2016-2016,9,2,2,0,0*,-,0,-,0,0,0,0,0,SW Tait,2016-2016,9,9,35.0,1,262,10,2/23,26.20,7.48,21.0,0,0,1,0
49,Tamim Iqbal,2016-2018,17,17,4,522,80*,40.15,467,111.77,0,4,0,50,12,Tamim Iqbal,2016-2018,17,-,-,-,-,-,-,-,-,-,-,-,3,0
50,Umaid Asif,2018-2019,20,7,2,39,25,7.80,30,130.00,0,0,2,2,3,Umaid Asif,2018-2019,20,20,76.0,0,587,20,4/23,29.35,7.72,22.8,1,0,3,0
51,Umar Amin,2019-2020,12,9,3,218,61*,36.33,186,117.20,0,2,1,26,3,Umar Amin,2019-2020,12,-,-,-,-,-,-,-,-,-,-,-,6,0
52,Wahab Riaz,2016-2020,54,33,13,260,33*,13.00,197,131.97,0,0,4,26,7,Wahab Riaz,2016-2020,54,53,198.5,0,1385,76,3/17,18.22,6.96,15.6,0,0,17,0
53,MH Wessels,2018-2018,4,4,1,68,31*,22.66,62,109.67,0,0,0,8,1,MH Wessels,2018-2018,4,-,-,-,-,-,-,-,-,-,-,-,0,0
54,Yasir Shah,2020-2020,4,1,1,1,1*,-,1,100.00,0,0,0,0,0,Yasir Shah,2020-2020,4,4,12.0,0,112,3,2/28,37.33,9.33,24.0,0,0,2,0
