,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
32,Mohammad Nabi,2016-2016,8,4,1,47,30*,15.66,37,127.02,0,0,0,4,2,Mohammad Nabi,2016-2016,8,8,27.0,0,208,4,2/32,52.00,7.70,40.5,0,0,4,0
33,Mohammad Nawaz,2016-2020,52,36,12,432,42,18.00,410,105.36,0,0,2,34,15,Mohammad Nawaz,2016-2020,52,52,175.4,1,1252,49,4/13,25.55,7.12,21.5,1,0,30,0
34,Naseem Shah,2020-2020,6,1,0,7,7,7.00,7,100.00,0,0,0,0,1,Naseem Shah,2020-2020,6,6,22.0,0,162,5,2/17,32.40,7.36,26.4,0,0,1,0
35,NLTC Perera,2017-2018,7,5,1,52,27,13.00,45,115.55,0,0,0,3,2,NLTC Perera,2017-2018,7,7,19.1,0,179,7,3/34,25.57,9.33,16.4,0,0,6,0
36,KP Pietersen,2016-2018,27,25,2,611,88*,26.56,439,139.17,0,4,4,43,30,KP Pietersen,2016-2018,27,-,-,-,-,-,-,-,-,-,-,-,5,0
37,Rahat Ali,2018-2018,11,1,0,0,0,0.00,1,0.00,0,0,1,0,0,Rahat Ali,2018-2018,11,11,42.2,0,322,15,4/16,21.46,7.60,16.9,1,0,1,0
38,Rameez Raja,2018-2018,5,5,1,40,22,10.00,33,121.21,0,0,0,2,2,Rameez Raja,2018-2018,5,-,-,-,-,-,-,-,-,-,-,-,0,0
39,RR Rossouw,2017-2019,31,29,7,750,76*,34.09,585,128.20,0,3,0,64,26,RR Rossouw,2017-2019,31,3,2.4,0,17,2,1/3,8.50,6.37,8.0,0,0,8,0
40,JJ Roy,2018-2020,10,10,1,286,73*,31.77,242,118.18,0,2,1,30,8,JJ Roy,2018-2020,10,-,-,-,-,-,-,-,-,-,-,-,6,0
41,Saad Nasim,2017-2017,3,3,0,18,9,6.00,16,112.50,0,0,0,2,0,Saad Nasim,2017-2017,3,1,1.0,0,9,0,-,-,9.00,-,0,0,1,0
42,KC Sangakkara,2016-2016,4,4,0,129,55,32.25,89,144.94,0,1,1,17,2,KC Sangakkara,2016-2016,4,-,-,-,-,-,-,-,-,-,-,-,0,0
43,Sarfaraz Ahmed,2016-2020,52,43,12,868,56*,28.00,694,125.07,0,3,2,74,16,Sarfaraz Ahmed,2016-2020,52,1,0.4,0,6,0,-,-,9.00,-,0,0,25,10
44,DR Smith,2019-2019,5,3,1,22,11*,11.00,27,81.48,0,0,0,2,0,DR Smith,2019-2019,5,1,0.2,0,6,0,-,-,18.00,-,0,0,1,0
45,Sohail Khan,2020-2020,8,5,2,65,32,21.66,60,108.33,0,0,0,3,5,Sohail Khan,2020-2020,8,7,25.1,0,235,7,2/21,33.57,9.33,21.5,0,0,1,0
46,Sohail Tanvir,2019-2019,12,4,2,9,7,4.50,23,39.13,0,0,1,0,0,Sohail Tanvir,2019-2019,12,12,47.0,1,326,15,4/21,21.73,6.93,18.8,1,0,5,0
47,Umar Akmal,2019-2019,12,10,2,277,75*,34.62,202,137.12,0,2,1,18,16,Umar Akmal,2019-2019,12,-,-,-,-,-,-,-,-,-,-,-,4,0
48,Umar Amin,2018-2018,6,6,1,97,31,19.40,96,101.04,0,0,0,9,1,Umar Amin,2018-2018,6,-,-,-,-,-,-,-,-,-,-,-,2,0
49,Umar Gul,2016-2017,8,3,0,2,2,0.66,6,33.33,0,0,2,0,0,Umar Gul,2016-2017,8,7,25.0,0,213,5,2/19,42.60,8.52,30.0,0,0,1,0
50,MN van Wyk,2017-2017,1,1,0,1,1,1.00,7,14.28,0,0,0,0,0,MN van Wyk,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,0,0
51,SR Watson,2018-2020,31,31,3,996,91*,35.57,692,143.93,0,8,2,94,60,SR Watson,2018-2020,31,11,37.0,0,286,12,3/22,23.83,7.72,18.5,0,0,8,0
52,LJ Wright,2016-2017,7,7,1,181,86*,30.16,141,128.36,0,1,0,20,7,LJ Wright,2016-2017,7,-,-,-,-,-,-,-,-,-,-,-,1,0
53,Zahid Mahmood,2020-2020,1,1,1,19,19*,-,19,100.00,0,0,0,2,0,Zahid Mahmood,2020-2020,1,1,2.5,0,26,0,-,-,9.17,-,0,0,0,0
54,Zulfiqar Babar,2016-2017,18,6,3,23,20*,7.66,17,135.29,0,0,2,1,1,Zulfiqar Babar,2016-2017,18,18,72.0,2,499,15,2/17,33.26,6.93,28.8,0,0,7,0
