,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
32,Maaz Khan,2020-2020,3,-,-,-,-,-,-,-,-,-,-,-,-,Maaz Khan,2020-2020,3,3,7.0,0,76,2,2/31,38.00,10.85,21.0,0,0,1,0
33,MJ McClenaghan,2018-2018,4,1,0,4,4,4.00,2,200.00,0,0,0,1,0,MJ McClenaghan,2018-2018,4,4,16.0,0,142,2,1/31,71.00,8.87,48.0,0,0,1,0
34,BB McCullum,2017-2018,18,17,2,311,44,20.73,272,114.33,0,0,3,28,15,BB McCullum,2017-2018,18,1,1.0,0,13,0,-,-,13.00,-,0,0,5,0
35,BAW Mendis,2016-2016,4,-,-,-,-,-,-,-,-,-,-,-,-,BAW Mendis,2016-2016,4,4,12.0,0,94,4,3/17,23.50,7.83,18.0,0,0,0,0
36,Mohammad Hafeez,2019-2020,12,11,4,236,98*,33.71,192,122.91,0,1,1,18,10,Mohammad Hafeez,2019-2020,12,9,21.1,1,138,3,1/11,46.00,6.51,42.3,0,0,6,0
37,Mohammad Irfan,2017-2017,7,4,1,4,3*,1.33,6,66.66,0,0,2,0,0,Mohammad Irfan,2017-2017,7,7,20.0,0,185,7,3/26,26.42,9.25,17.1,0,0,0,0
38,Mohammad Rizwan,2016-2017,16,12,3,233,50*,25.88,188,123.93,0,1,1,18,9,Mohammad Rizwan,2016-2017,16,-,-,-,-,-,-,-,-,-,-,-,11,6
39,Muhammad Faizan,2020-2020,4,2,1,6,6,6.00,7,85.71,0,0,0,0,1,Muhammad Faizan,2020-2020,4,3,7.0,0,72,3,2/29,24.00,10.28,14.0,0,0,1,0
40,Mustafizur Rahman,2018-2018,5,5,4,1,1*,1.00,9,11.11,0,0,1,0,0,Mustafizur Rahman,2018-2018,5,5,16.0,1,103,4,2/22,25.75,6.43,24.0,0,0,0,0
41,SP Narine,2017-2018,17,15,2,214,28,16.46,130,164.61,0,0,1,17,15,SP Narine,2017-2018,17,17,66.0,0,411,20,3/28,20.55,6.22,19.8,0,0,5,0
42,Naved Yasin,2016-2016,5,3,1,27,25,13.50,33,81.81,0,0,1,2,1,Naved Yasin,2016-2016,5,-,-,-,-,-,-,-,-,-,-,-,1,0
43,SR Patel,2020-2020,9,6,2,137,71,34.25,88,155.68,0,1,0,17,4,SR Patel,2020-2020,9,8,23.0,1,184,9,4/5,20.44,8.00,15.3,1,0,5,0
44,S Prasanna,2020-2020,2,1,0,8,8,8.00,8,100.00,0,0,0,0,1,S Prasanna,2020-2020,2,2,5.0,0,56,0,-,-,11.20,-,0,0,0,0
45,Rahat Ali,2019-2019,7,2,2,2,1*,-,4,50.00,0,0,0,0,0,Rahat Ali,2019-2019,7,7,23.5,0,176,10,4/29,17.60,7.38,14.3,1,0,1,0
46,Raja Farzan,2020-2020,2,-,-,-,-,-,-,-,-,-,-,-,-,Raja Farzan,2020-2020,2,2,6.0,0,35,2,2/24,17.50,5.83,18.0,0,0,0,0
